Player Name,School,Conference,Award Name,Subgroup,Year Won
Dayvion McKnight,Western Kentucky,Conference USA,Men's All-Conference USA Winners,1st Team,2021-22
Jahmir Young,Charlotte,Conference USA,Men's All-Conference USA Winners,1st Team,2021-22
Jordan Walker,UAB,Conference USA,Men's All-Conference USA Winners,1st Team,2021-22
Kenneth Lofton,Louisiana Tech,Conference USA,Men's All-Conference USA Winners,1st Team,2021-22
Tylor Perry,North Texas,Conference USA,Men's All-Conference USA Winners,1st Team,2021-22
Austin Trice,Old Dominion,Conference USA,Men's All-Conference USA Winners,2nd Team,2021-22
Josh Jefferson,Middle Tennessee,Conference USA,Men's All-Conference USA Winners,2nd Team,2021-22
Souley Boum,UTEP,Conference USA,Men's All-Conference USA Winners,2nd Team,2021-22
Taevion Kinsey,Marshall,Conference USA,Men's All-Conference USA Winners,2nd Team,2021-22
Thomas Bell,North Texas,Conference USA,Men's All-Conference USA Winners,2nd Team,2021-22
Alijah Martin,Florida Atlantic,Conference USA,Men's All-Conference USA Winners,3rd Team,2021-22
Carl Pierre,Rice,Conference USA,Men's All-Conference USA Winners,3rd Team,2021-22
Jamal Bieniemy,UTEP,Conference USA,Men's All-Conference USA Winners,3rd Team,2021-22
Quan Jackson,UAB,Conference USA,Men's All-Conference USA Winners,3rd Team,2021-22
Tevin Brewer,Florida International,Conference USA,Men's All-Conference USA Winners,3rd Team,2021-22
DeAndre Dishman,Middle Tennessee,Conference USA,Men's All-Conference USA Tournament,NA,2021-22
Jordan Walker,UAB,Conference USA,Men's All-Conference USA Tournament,NA,2021-22
Kenneth Lofton,Louisiana Tech,Conference USA,Men's All-Conference USA Tournament,NA,2021-22
Michael Ertel,UAB,Conference USA,Men's All-Conference USA Tournament,NA,2021-22
Quan Jackson,UAB,Conference USA,Men's All-Conference USA Tournament,NA,2021-22
Cobe Williams,Louisiana Tech,Conference USA,Men's Conference USA All-Defensive Winners,NA,2021-22
Jamarion Sharp,Western Kentucky,Conference USA,Men's Conference USA All-Defensive Winners,NA,2021-22
JJ Murray,North Texas,Conference USA,Men's Conference USA All-Defensive Winners,NA,2021-22
Quan Jackson,UAB,Conference USA,Men's Conference USA All-Defensive Winners,NA,2021-22
Thomas Bell,North Texas,Conference USA,Men's Conference USA All-Defensive Winners,NA,2021-22
Aaron Scott,North Texas,Conference USA,Men's Conference USA All-Freshman Winners,NA,2021-22
Aly Khalifa,Charlotte,Conference USA,Men's Conference USA All-Freshman Winners,NA,2021-22
Kaleb Stewart,Louisiana Tech,Conference USA,Men's Conference USA All-Freshman Winners,NA,2021-22
Rashad Bolden,Southern Mississippi,Conference USA,Men's Conference USA All-Freshman Winners,NA,2021-22
Teafale Lenard,Middle Tennessee,Conference USA,Men's Conference USA All-Freshman Winners,NA,2021-22
Jamarion Sharp,Western Kentucky,Conference USA,Men's Conference USA Defensive Player of the Year Winners,NA,2021-22
Jordan Walker,UAB,Conference USA,Men's Conference USA Player of the Year Winners,NA,2021-22
Aly Khalifa,Charlotte,Conference USA,Men's Conference USA Rookie of the Year Winners,NA,2021-22
Tylor Perry,North Texas,Conference USA,Men's Conference USA Sixth Man of the Year Winners,NA,2021-22
Jordan Walker,UAB,Conference USA,Men's Conference USA Tournament MVP Winners,NA,2021-22
Nick McDevitt,Middle Tennessee,Conference USA,Conference USA Coach of the Year Winner,NA,2021-22
